;str_name;STR_ESID;snb_erlaeuterung;STN_LABEL;instance
47319;Müseliweg;10006083;Flurname «Im Müseli» (1474), Verkleinerungsform von Moos.;Müseliweg;
47320;Stelzenstrasse;10110212;Tiername, Vogelart.;Stelzenstrasse;
47323;Bachtelweg;10217000;Der Bachtel: Berg und bekannter Aussichtspunkt (1115 m ü. M) im Zücher Oberland.;Bachtelweg;
47340;Kirchenfeldweg;10157125;Flurname «Chilefäld» nahe der Alten Kirche Seebach und der 1933 bis 1935 erbauten katholischen Kirche Maria Lourdes.;Kirchenfeldweg;
47343;Feldgütliweg;10105493;Weg in Aussersihl, der zum 1864 erbauten und 1990 abgetragenen Wohnhaus zum Feldgütli, Feldgütliweg 8, führte. Andere Namen für die dortige Gegend an der Strasse nach Altstetten waren auch Oberfeldegg und Feldegg, alles Namen, die mit den damals noch weitgehend unüberbauten und landwirtschaftlich genutzten Feldern des Sihlfelds zwischen der Sihl und der Limmat in Zusammenhang standen.;Feldgütliweg;
47344;Ginsterweg;10006815;Strauchname: wohlriechender, aber giftiger Strauch der Art Schmetterlingsblütler.;Ginsterweg;
47352;Breitenackerstrasse;10034974;Strasse durch ein Waldstück östlich der Waldegg, das seinen Namen wahrscheinlich von den (breiten) Äckern ableitet, die gleich unterhalb liegen, worauf der dortige Flurname «In Aeckern» hinweisen würde. Die Lage des Waldstückes macht es nicht sehr wahrscheinlich, dass es sich um wieder aufgeforstetes Ackerland gehandelt hat.;Breitenackerstrasse;
47358;Mattengasse;10032494;Name, der an die Wiesen oder Matten entlang der Limmat erinnert, die 1877 von der Stadt Zürich zur Anlegung des Industriequartiers bestimmt wurden. Es waren unter anderem die Oetenbachermatte und die Marstallermatte. Erstere war ursprünglich die Wiese des Klosters Oetenbach, Letztere die des städtischen Marstallamtes. Im Marstall hielt sich der Staat bis ins 18. Jahrhundert Pferde für verschiedene Zwecke. In der Bezeichnung versteckt sich das alte Wort Mähre für Pferd.;Mattengasse;
47381;Dianastrasse;10123861;Um 1895 angelegte Privatstrasse im Selnauquartier, die aus nicht überlieferten Gründen den weiblichen Vornamen Diana erhielt. Diana war auch die römische Göttin der Jagd und des Mondes.;Dianastrasse;
47387;Limmatstrasse;10036293;Hauptstrasse im Industriequartier, das ab 1870 mit der Limmatstrasse als einer repräsentativen, baumbesetzten Allee, die zum Limmatplatz führt, angelegt wurde . Namensgebend war die nahe Limmat, zwischen der und den Eisenbahnlinien das Industriequartier liegt. Der Flussname Limmat geht wohl auf die Kelten zurück und könnte etwa Ebene am Wasser, sumpfige Ebene, Seefeld bedeuten.;Limmatstrasse;
47394;Malvenstrasse;10054910;Blumenname.;Malvenstrasse;
47396;Rathausbrücke;10174538;Die untere Brücke neben dem Rathaus war die erste befahrbare Limmatbrücke in Zürich und beruhte teils auf einer Holz- und teils auf einer Steinkonstruktion. Sie gehörte zu den ältesten bekannten Steinbrücken und war seit dem 17. Jahrhundert die breiteste Brücke in der Schweiz. 1882 wurde sie durch eine von Ludwig Tetmajer entworfene, gusseiserne Brücke ersetzt. Seit 1973 steht hier die Betonbrücke von Architekt Manuel Pauli und Ingenieur Edy Toscano. Die umgangssprachliche Bezeichnung Gemüsebrücke erinnert an den früher hier abgehaltenen Gemüsemarkt.;Rathausbrücke;
47398;Edenstrasse;10117388;"Garten Eden: Bezeichnung für das Paradies; vermutlich Anspielung auf den damals benachbarten Friedhof Enge.";Edenstrasse;
47427;Stäblistrasse;10030890;Adolf Stäbli (1842-1901): Maler aus Winterthur. Er weilte von 1860 bis 1862 als Schüler bei Rudolf Koller in Zürich. Stäbli zählt zu den deutschen Spätromantikern und war vor allem für seine Stimmungslandschaften bekannt.;Stäblistrasse;
47429;Gemeindestrasse;10032950;1820 erstes Schulhaus Hottingens an der Gemeindestrasse 54. Nach Um- und Erweiterungsbauten 1840 Nutzung der Liegenschaft als Schul- und Gemeindehaus mit Kanzlei. 1890 Umbau zum Verwaltungsgebäude. Heute Kreisbüro 7 und Polizeiwache Hottingen.;Gemeindestrasse;
47431;Hintereggweg;10239729;Weg durch das Egghölzli in Seebach.;Hintereggweg;
47437;Wannenweg;10095600;Waldweg auf dem Käferberg, der in der muldenartigen Senke, einer Wanne, beim Hönggerberg endet.;Wannenweg;
47455;Vulkanstrasse;10034676;Beim Bahnhof Altstetten an der Vulkanstrasse 110 standen die zwischen 1880 und 1896 errichteten Fabrikbauten der Firma Vulcan, Schweizerische Automobil- und Motorbootfabrik AG, die 1984 abgebrochen wurden.;Vulkanstrasse;
47457;Oskar-Bider-Strasse;10175838;Oskar Bider (1891-1919): Schweizer Flugpionier. Er verstarb bei einem Flugzeugabsturz am 7. Juli 1919 in Dübendorf.;Oskar-Bider-Strasse;
47459;Berninastrasse;10124195;"Bergmassiv und Pass in Graubünden. Die Berninagruppe ist die höchste Berggruppe der Ostalpen; ihr höchster Gipfel, der Piz Bernina (4049 m ü. M.), ist der einzige Viertausender der Ostalpen. Der Berninapass (2328 m) verbindet das Oberengadin mit dem Puschlav bzw. mit dem italienischen Veltlin.";Berninastrasse;
47462;Ackermannstrasse;10190084;Angehörige der Familie Ackermann wirkten von 1726 bis 1839 als Schulmeister in Fluntern.;Ackermannstrasse;
47463;Gräbligasse;10145953;Gasse, die ursprünglich vom Niederdorf zum inneren Weg entlang der Stadtmauer, dem sogenannten Weg hinter dem Gräbli (dem ehemaligen Stadtgraben, heute Hirschen- und Seilergraben) und zum 1878 abgebrochenen Ketzerturm führte. Der Name ist in dieser Form seit 1756 verbürgt, zuvor hiess die Gasse Grabengasse, im 14./15. Jahrhundert nach einer dort über Besitz verfügenden Familie auch Wagnergasse.;Gräbligasse;
47469;Butzenstrasse;10201598;Flurname «uff dem Buzt» oder «uff dem Butzen» (1511), Feldflur mit Pfahl und aufgestecktem Strohwisch oder einer Vogelscheuche als Verbotszeichen.;Butzenstrasse;
47473;Albertstrasse;10113975;Männlicher Vorname.;Albertstrasse;
47476;Stadtweg;10037748;Fussweg von Stettbach nach Zürich.;Stadtweg;
47487;Reinhold-Frei-Strasse;10004236;Reinhold Frei (1881-1960): Lehrer, Förderer der Heimatkunde von Höngg.;Reinhold-Frei-Strasse;
47488;Metzgerweg;10242253;Vielleicht nach einem früheren Grundstücksbesitzer namens Metzger benannter Waldweg in Albisrieden.;Metzgerweg;
47492;Fortunagasse;10118009;Gasse benannt nach dem 1671 erwähnten Eckhaus zur Fortuna, Schipfe 39. Fortuna war die römische Glücks- und Schicksalsgöttin. Nach dem Lindenhof, der im Mittelalter nur «der Hof» genannt wurde, hiess die spätere Fortunagasse zunächst Gasse hinterm Hof oder Hintere Hofgasse. So wurde das Teilstück gegen den Rennweg noch um 1850 genannt, während das Teilstück gegen die Schipfe bereits im 18. Jahrhundert den Namen Fortunagasse trug. Dies war ab 1865 dann der Name für die ganze Gasse.;Fortunagasse;
47493;Bristenstrasse;10020001;Berg im Im Kanton Uri, südlich von Amsteg (3073 m ü. M.).;Bristenstrasse;
47497;Etzelweg;10164802;Berg am oberen Zürichsee, oberhalb von Pfäffikon im Kanton Schwyz.;Etzelweg;
47505;Tuchmacherstrasse;10199627;In Anlehnung an bestehende Strassennamen aus dem Spinnereigewerbe. Der Begriff des Tuchmachers stammt ursprünglich aus dem Mittelalter und der frühen Neuzeit, wo das Handwerk des Tuchmachens generell ein Männerberuf war. Ein Tuchmacher war ein Weber, der spezialisierte Fasern, vor allem Wolle, verarbeitete und das damals so genannte Tuch herstellte. Im 19. Jahrhundert war diese Berufsbezeichnung nicht mehr verbreitet.;Tuchmacherstrasse;
47510;Gerstenstrasse;10190190;Getreide, das als Malz bei der Bierherstellung Verwendung findet. Die Strasse liegt bei der ehemaligen Brauerei «Löwenbrau Zürich AG» (1890-1986) und gegenüber der 1843 eröffneten Stadtmühle Zürich, seit 1998 Swissmill.;Gerstenstrasse;
47513;Weingasse;10114277;Benannt nach den Weinstuben, die es um 1890 an dieser Gasse gab.;Weingasse;
47518;Zollikerstrasse;10004290;Alte Landstrasse nach Zollikon und dem rechten Seeufer.;Zollikerstrasse;
47519;Chorgasse;10006626;Ursprünglich «Gräbli» genannter, innerer Weg entlang der Stadtmauer am Seilergraben, der 1877 in Chorgasse umbenannt wurde. Namengebend war der Chor der Predigerkirche, an dem der Weg vorbeiführt. Der Chor der Predigerkirche, der bis 1873 als Lagerraum diente, erfuhr damals als ein gotisches Bauwerk neue Wertschätzung und wurde auch durch bauliche Massnahmen aufgewertet.;Chorgasse;
47521;Wasserwerkstrasse;10038073;Teilstück der alten Zürcherstrasse, die rechts der Limmat von Zürich über Wipkingen nach Höngg und weiter nach Wettingen führte. 1892 wurde die Strecke von Unterstrass bis zum Bahndamm von Wipkingen in Wasserwerkstrasse umbenannt, um Verwechslungen mit anderen Zürcherstrassen auszuschliessen. Namengebend war das 1875 eröffnete Wasserwerk im Letten, an dem die Strasse vorbeiführte. Das Werk diente der Wasserversorgung, ab 1892 auch der Elektrizitätsgewinnung für die Stadt Zürich.;Wasserwerkstrasse;
47527;Silvrettaweg;10076776;Gebirgsgruppe der Zentralalpen, das auf dem Gebiet der Schweiz und Österreichs liegt. Der höchste Gipfel ist der Piz Linard mit 3414 Metern in Graubünden.;Silvrettaweg;
47610;Universitätstrasse;10006925;Vormals die Neue Landstrasse in Oberstrass, die 1883 auf Wunsch der Anwohner in Universtätstrasse umbenannte wurde, weil sie damals bei der Universität Zürich begann. Die 1833 gegründete Universität Zürich befand sich von 1864 bis 1914 im Südflügel des dortigen Gebäudes des Polytechnikums bzw. der Eidgenössischen Technischen Hochschule ETH. Dieses war von 1858 bis 1864 erbaut worden. Das 1914 bezugsbereite Gebäude an der Rämistrasse war nach den Plänen von Karl Moser und Robert Curjel gebaut worden.;Universitätstrasse;
47611;Unterwerkstrasse;10036308;Zur Elektrifizierung der Bahnen haben die Bundesbahnen 1924 ein Unterwerk, eine Transformatorenstation, mit einer Erschliessungstrasse errichtet. Die Strasse ist 1977 ausgehoben und durch eine neue Strasse auf der anderen Seite des gleichen Grundstückes ersetzt worden.;Unterwerkstrasse;
47618;Stapferstrasse;10054840;"Eine Gegend Stapferweg in Oberstrass ist bereits im Jahr 1650 bekannt. Vermutlich hatte hier einst die einflussreiche Zürcher Junkerfamilie Stapfer Grundbesitz; die Familie tritt in Zürich ab 1360 auf und starb 1670 in der männlichen Linie aus.";Stapferstrasse;
47622;Geissbergstrasse;10031416;Benannt nach dem angrenzenden Hof Geissberg, zu dem früher eine Ziegenweide gehörte.;Geissbergstrasse;
47636;Wartstrasse;10036430;Gemäss Auskunft von Anwohnern soll sich der Bezug der dort von der Genossenschaft Eigenheim errichteten Häuser so stark verzögert haben, dass die Käufer beschlossen hätten, die damalige Privatstrasse «Wartstrasse» zu nennen.;Wartstrasse;
47646;Bachtobelstrasse;10078563;Strasse entlang dem Tobel des Kolbenhofbaches.;Bachtobelstrasse;
47664;Talbächliweg;10004088;Das Talbächlein ist der unterste, 450 Meter lange Bach in Altstetten, der vom Uetliberg her kommt und der Limmat zufliesst.;Talbächliweg;
47665;Narzissenstrasse;10114314;Blumenname.;Narzissenstrasse;
47678;Heerenschürlistrasse;10004569;Scheune auf dem Grundstück des Pfarrers oder «Pfarrherren» von Schwamendingen.;Heerenschürlistrasse;
47679;Depotweg;10242164;Das Grundstück ist ab 2025 für den Bau eines Tramdepots der VBZ vorgesehen.;Depotweg;
47684;Am Rank;10039750;"Am Rank endete, bevor der Limmatquai um 1860 vom «Rank» bis zum Central verlängert wurde, die Strasse im Niederdorf der Limmat entlang; es musste «ein Rank», eine Kurve, in die Niederdorfstrasse gemacht werden . Die Bezeichnung «Am Rank» findet sich bereits auf dem Stadtplan von 1793.";Am Rank;
47686;Aprikosenstrasse;10004566;Baum- oder Strauchname, Name einer Frucht.;Aprikosenstrasse;
47687;Heubeeriweg;10239580;Führt zum Heubeeribühl, einem mit Heidelbeerstauden bewachsenen Hügel.;Heubeeriweg;
47689;Berghaldenstrasse;10124891;Flurname: Halde unterhalb der Kirche Witikon.;Berghaldenstrasse;
47701;Sihlquai;10058804;"Um 1877 im Zusammenhang mit der Anlage des Industriequartiers ausgebaute und umbenannte Quaistrasse längs der Sihl und der Limmat. Zuvor hiess der bestehende Weg Kreuelstrasse nach der dortigen Gegend, die schon im 14. Jahrhundert «Krewel» oder «Kreuel» genannt wurde. Was «Kreuel» ursprünglich bedeutete, ist ungewiss; vielleicht war es ein Familienname wie Grebel, vielleicht ein Flurname, der an eine Geländeform ähnlich einer hakenförmigen Gabel, den Kräuel, erinnerte.";Sihlquai;
47703;Fliederstrasse;10037697;Strauchname, Flieder, Pflanzengattung aus der Familie der Ölbaumgewächse.;Fliederstrasse;
47725;Susenbergstrasse;10004007;Susenberg oder «Sausenberg» ist eine alte, bereits im Jahr 1294 erwähnte Ortsgegend in Fluntern am Zürichberg. Sie bestand noch um 1840 aus nur einem Hof mit Wohnhaus. Der Name Susenberg geht vielleicht auf einen Personennamen Suso zurück und kann etwa als Hofsiedlung eines Mannes Suso am Berg gedeutet werden. Korrektion und Ausbau der Susenbergstrasse erfolgten um 1890 im Zusammenhang mit der geplanten baulichen Erschliessung des Zürichbergs, die dann in der Gegend von Susenberg nach 1900 einsetzte.;Susenbergstrasse;
47726;In der Ey;10034347;«Ei» oder «Ey», Nebenform von «Au», d. h. am Wasser gelegenes Gelände. Die Strasse verläuft entlang des teils eingedolten Döltschibachs.;In der Ey;
47729;Waaggasse;10145917;"Der Name Waaggasse stammt aus dem Jahr 1865; namengebend war das Eckhaus zum Münsterhof, das Zunfthaus zur Waag, Münsterhof 8. Der Hausname wiederum wird im Jahr 1385 zuerst erwähnt, er könnte auf das Berufsgerät eines Arztes und Apothekers zurückgehen, dem das Haus 1315 gehörte. Im Mittelalter wurde die Gasse gelegentlich auch Webergasse genannt. Vor 1865 hiess sie Gasse innert dem Katzentor, denn sie führte zum Tor dieses Namens beim heutigen Paradeplatz.";Waaggasse;
47732;Langensteinenstrasse;10004643;Flurname «Langensteinen», vermutlich nach Findlingen so benannt.;Langensteinenstrasse;
47733;Am Suteracher;10177325;Flurname: Acker eines ehemaligen Bauern namens Suter.;Am Suteracher;
47734;Wolfbachstrasse;10109222;Der Fussweg aus Hottingen in die Stadt Zürich führte seit dem Bau der barocken Schanzen 1673 vom heutigen Steinwiesplatz an entlang dem Wolfbach zum Hottingerpörtli und wurde Wolfbach oder Am Wolfbach genannt. 1871 beschloss die Gemeinde Hottingen, den Bach entlang dem Weg einzudolen und die dann obere Wolfbachstrasse genannte Strasse zu einer Fahrstrasse zu erheben. Gleichzeitig wurde auch der Bau der unteren Wolfbachstrasse beschlossen, die dann in Hottingerstrasse umbenannt wurde.;Wolfbachstrasse;
47737;Bächlerstrasse;10127986;Flurname «Bächler», Grundstück an einem Bach gelegen.;Bächlerstrasse;
47749;Lilienstrasse;10185055;Strasse auf dem bevorzugt gelegenen Sonnenberg in Hottingen. Mehrere Strassen des ab 1870 entstandenen Quartiers wurden, dem Geschmack der Zeit entsprechend und dem Gartenschmuck der neuen Häuser gemäss, nach Pflanzen benannt wie die Dahlien-, die Veilchen-, die Myrten- oder die Lilienstrasse.;Lilienstrasse;
47763;Katzenseestrasse;10117081;Strasse zum kleinen See an der Grenze zur Gemeinde Regensdorf.;Katzenseestrasse;
47781;Leimgasse;10095644;Kurze Sackgasse in Riesbach bei der dortigen von 1851 bis 1874 betriebenen Leimfabrik mit Knochenmühle. Die Fabrik verfügte ab 1855 über eine Dampfmaschine von drei Pferdekräften, wonach sie fortan täglich 1400 Kilo Knochenmehl liefern konnte, wie es in der Chronik der Kirchgemeinde Neumünster heisst.;Leimgasse;
47784;Wehntalerstrasse;10000844;Landstrasse vom Milchbuck nach Affoltern und dem Wehntal.;Wehntalerstrasse;
47796;Schönberggasse;10075938;Weg bei der vormaligen, um 1650 angelegten Schönenbergbastion, einem Teil der ausgedehnten Zürcher Stadtbefestigung des 17. Jahrhunderts. Im einstigen Kessel der nach 1830 abgetragenen Bastion liegt das um 1665 erbaute Haus zum oberen Schönenberg. Dieses gehörte von 1756 bis 1783 dem Gelehrten Johann Jakob Bodmer, der hier Männer wie Klopstock, Wieland und Goethe empfing. Den Namen dürften Bastion und Haus ihrer bevorzugten und eine weite Aussicht gewährenden Lage an der Zürichberghalde verdanken.;Schönberggasse;
47797;Buhnstrasse;10081720;Der Flurname «Buhn» dürfte sich ableiten von einem oberen Boden in einem Gebäude, wie er im Begriff der Heubühne noch vorkommt, und bezeichnet einen höher gelegenen Ort.;Buhnstrasse;
47799;Burenweg;10081731;Vermutlich zu Ehren der Buren in Südafrika, die 1899-1902 im Abwehrkampf gegen Grossbritannien standen.;Burenweg;
47801;Schäferweg;10085850;Frei gewählter Name eines Waldweges durch das Gänziloo.;Schäferweg;
47809;Eichbühlstrasse;10063420;Flurname «Eichbüel», mit Eichen bestandener Hügel, Erhöhung.;Eichbühlstrasse;
47818;Waldhüslistrasse;10205700;Das Waldhüsli ist ein 1890 vom Verschönerungsverein von Zürich und Umgebung erstelltes Unterkunftslokal, das etwa 50 Personen bequem Platz bietet.;Waldhüslistrasse;
47821;Birmensdorferstrasse;10059045;Strasse von Zürich über Wiedikon auf die Waldegg und weiter nach Birmensdorf. Die Birmensdorferstrasse in Wiedikon wurde 1846-1847 erstellt, sie war die erste durchgehende Strassenverbindung Wiedikons, und sie erschloss diese zuvor etwas abgelegene Gemeinde dem Verkehr. Die ältere, in den 1820er Jahren ausgebaute Landstrasse von Zürich nach Birmensdorf und ins Knonauer Amt führte nicht über Wiedikon, sondern über Albisrieden.;Birmensdorferstrasse;
47827;Marchwartstrasse;10010022;Die Marchwart, lateinisch marquardus, ab ca. 1290 auch Marchwart von Wollishofen genannt, waren ein Zürcher Ratsgeschlecht des 13. und 14. Jahrhunderts.;Marchwartstrasse;
47828;Grünauring;10074173;Benannt nach der dort errichteten Überbauung der Baugenossenschaft Grünau.;Grünauring;
47831;Schweighofstrasse;10179350;Der Flurname «Schweighof» ist ein Synonym für eine Sennerei und steht für einen Vieh- und Milchwirtschaftsbetrieb. Der Friesenberg am Abhang des Üetliberges wurde bis ins 20. Jahrhundert als Weideland für die Viehwirtschaft genutzt.;Schweighofstrasse;
47833;Landenbergstrasse;10069814;Die von Landenberg waren ein ursprünglich aus dem Zürcher Tösstal stammendes Adelsgeschlecht, dessen umfangreicher Besitz sich ab dem ausgehenden 13. Jahrhundert über die ganze Ostschweiz verteilte. Die Herkunft der in Süddeutschland bis in die Gegenwart bestehenden Familie ist unklar. Einzelne Familienmitglieder besassen das Zürcher Bürgerrecht.;Landenbergstrasse;
47839;Leutholdstrasse;10002254;Heinrich Leuthold (1827-1879): Schweizer Dichter, Übersetzer und Journalist. Rechtsstudium in Zürich, Bern und Basel, wo Leuthold auch Schüler von Wilhelm Wackernagel und Jacob Burckhardt war. Nach einem psychischen Zusammenbruch 1876 kam Heinrich Leuthold in die Heilanstalt Burghölzli. Reim- und formgewandt schuf er in der Nachfolge Friedrich Hölderlins, August von Platens und Nikolaus Lenaus lyrische Werke, aber auch schlichtere, u. a. von Othmar Schoeck vertonte Gedichte, die lange in Anthologien und Lesebüchern präsent blieben.;Leutholdstrasse;
47842;Turbinenstrasse;10056499;Die Maschinenfabrik Escher Wyss begann 1840 mit dem Bau von Turbinen der Bauart Jonval und wurde im 20. Jahrhundert zu einem der weltweit führenden Unternehmen im Turbinenbau.;Turbinenstrasse;
47847;Schwandenacker;10118222;Der Flurname bezeichnet einen Acker beim Schwandenholz, einem Wäldchen, dessen Holz durch «Schwand», Kahlschlag, gewonnen wurde. Die Strasse ist eine Querstrasse zur Schwandenholzstrasse.;Schwandenacker;
47848;Thujastrasse;10010035;Baum- oder Strauchname.;Thujastrasse;
47849;Brüderhofweg;10004351;Freie Neubildung nach dem überlieferten Flurnamen «Einsiedlerweg» oder nach einem Einsiedler (Waldbruder).;Brüderhofweg;
47850;Käferholzstrasse;10006714;Strasse entlang dem Wald auf dem Käferberg, der nach dem Vorkommen von Maikäfern benannt ist.;Käferholzstrasse;
47853;Hohenbühlstrasse;10177298;Zusammensetzung des häufig vorkommenden Flurnamens «Bühl» oder «Büel», der einen länglichen, oft mit Reben besetzten Hügel bezeichnet, hier in Zürich-Hottingen einen solchen parallel zum See. Höhenbühl ist auch der Name der dortigen, um 1887 erbauten monumentalen Villa im Stil der Neurenaissance.;Hohenbühlstrasse;
47856;Kalkbreitestrasse;10182305;Der Flurname bezeichnet einen gut gelegenen Acker, eine so genannte «Breiti», in welchem verwertbare Kalksteine vorgefunden wurden. Da sich neben der Kalkbreite eine Kiesgrube und an der Badenerstrasse ein Kalkofen befanden, wurde hier wohl Kalk gebrannt, mit dem dann Mörtel oder Verputz hergestellt wurde.;Kalkbreitestrasse;
47857;Sihlstrasse;10058805;Strasse, die vom mittelalterlichen Rennwegtor durch die im 17. Jahrhundert entstandene und befestigte Vorstadt zur Sihlporte und weiter zur Brücke über die Sihl führte. Die Sihlporte und das Rennwegtor waren bis zur Schleifung der Befestigungsanlagen im 19. Jahrhundert die einzigen befahrbaren Toranlagen der linksufrigen Stadt. Die Sihlstrasse stellte somit eine Hauptverkehrsachse der alten Stadt Zürich dar.;Sihlstrasse;
47860;Albisriederstrasse;10105483;Führt nach Albisrieden, früher Rieden unter dem Albis: «Riete» (10. Jahrhundert), «Riedirn» (1225), d. h. Siedlung bei den Riedern. Riedt oder Riedtli ist ein häufig vorkommender Flurname, der etwa für einen feuchten Boden, für ein gerodetes Waldstück oder auch für Weideland, das bepflanzt worden ist. Der Name Albis bedeutet Berg und ist verwandt mit dem Wort Alpen.;Albisriederstrasse;
47861;Aargauerstrasse;10013909;Benannt zu Ehren des Nachbarkantons Aargau.;Aargauerstrasse;
47869;Spelteriniweg;10153169;Eduard Spelterini, mit bürgerlichem Namen Eduard Schweizer (1852-1931): Schweizer Ballonpionier. Er begann ab 1890 aus seinem Ballon heraus die unter ihm liegenden Landschaften zu fotografieren und präsentierte diese Bilder dann in öffentlichen Vorträgen. Seine Glasplattenfotografien erreichten eine so gute Qualität und hohe Auflösung, dass er sowohl als Künstler als auch als Pionier der Luftfotografie geschätzt wird, dessen Werke noch heute eine bedeutende Rolle in der Geschichtsforschung spielen.;Spelteriniweg;
47872;Lerchenhalde;10014860;Abgeleitet vom Flurnamen «Lerchenberg», vermutlich auf Lerchengesang an diesem Ort anspielend.;Lerchenhalde;
47875;Kornhausbrücke;10081620;1930 fertiggestellte Betonbrücke nach den Plänen von Architekt Peter Giumini und Ingenieur Ernst Rathgeb über das Sihlquai und die Limmat, der das ehemalige Kornhaus am Limmatplatz weichen musste.;Kornhausbrücke;
47876;Morgenweg;10088016;Vermutlich mit der Bedeutung eines nach Morgen, d. h. nach Osten, in Richtung Sonnenaufgang, verlaufenden Wegs.;Morgenweg;
47881;Schärenmoosstrasse;10004598;Flurname für ein feuchtes Gelände mit vielen Maulwürfen, im Dialekt auch «Scher» oder «Tscher» genannt.;Schärenmoosstrasse;
47898;Frymannstrasse;10003981;Leimbacher Familiengeschlecht Frymann, Besitzer der gleichnamigen Liegenschaften Frymannhäuser.;Frymannstrasse;
47900;Ueberlandstrasse;10004564;Ausfallstrasse von der Winterthurerstrasse in Oerlikon nach Dübendorf, die nördlich um das Dorf Schwamendingen über damals noch unbebautes Land führte.;Ueberlandstrasse;
47904;Talwiesenstrasse;10006696;Strasse durch die ehemaligen Wiesen in der Talmulde zwischen Bühlhügel und Uetliberghang.;Talwiesenstrasse;
47907;Jungholzstrasse;10016316;Strasse zum Jungholz, einem mittlerweile verschwundenen, zur Zeit der Strassenbenennung jungen Wald in Seebach.;Jungholzstrasse;
47912;Geranienstrasse;10081652;Blumenname, Pelargonienart.;Geranienstrasse;
47913;Bruchstrasse;10085074;Die Strasse führte zu einem Steinbruch.;Bruchstrasse;
47919;Im Laubegg;10057317;Frei gewählter Name.;Im Laubegg;
47921;Möhrlistrasse;10006909;Flurname «Mörli» (1520), vermutlich Familien- oder Übername eines früheren Grundstücksbesitzers.;Möhrlistrasse;
47922;Dangelweg;10117290;Dangel ist ein Gerät zum Dengeln (Schärfen) von Sensen oder Sicheln und der Begriff kommt im Flurnamen «Dangelhölzli» vor, der 1636 urkundlich erwähnt wird.;Dangelweg;
47924;Glatttalstrasse;10004586;Glatt: Ruhig oder «glatt» fliessender Seeabfluss aus dem Greifensee in den Rhein.;Glatttalstrasse;
47925;Saatlenzelg;10004556;Flurname für den Längsstreifen des Ackers, den der Sämann in einem Gang besät, so breit, als der Wurf des Sämanns reicht.;Saatlenzelg;
47926;Töpferstrasse;10085836;Strasse entlang dem Firmenareal der ehemaligen Tonwarenfabrik Ernst Bodmer & Cie, die von 1872 bis zu ihrer Schliessung 1964 an der Uetlibergstrasse ihren Sitz hatte und sich ab den 1950er Jahren auf die Produktion von Keramikartikeln spezialisierte.;Töpferstrasse;
47929;Eisfeldstrasse;10015103;Strasse zum ehemaligen Eisfeld Oerlikon.;Eisfeldstrasse;
47931;Englischviertelstrasse;10086007;Benannt nach dem «Englischviertel» mit seinen villenartigen Wohnhäusern um begrünte Gartenanlagen nach englischem Vorbild. Massgeblich beteiligt an der Planung des Viertels war der Architekt und Unternehmer Heinrich Ernst (1846-1916), der durch einen Englandaufenthalt dazu inspiriert worden war.;Englischviertelstrasse;
48188;Lavendelweg;10123257;Strauchname.;Lavendelweg;
48193;Schäracher;10153895;Flurname für einen Acker mit vielen Maulwürfen, im Dialekt auch «Scher» oder «Tscher» genannt.;Schäracher;
48196;St. Peterstrasse;10056492;1866 beschloss der Stadtrat als Verbindung vom Weinplatz zur Bahnhofstrasse eine an der Kirche St. Peter vorbei führende Peterstrasse zu errichten, doch die Gemeindeversammlung lehnte das Projekt 1868 ab. Am 29. Augst 1868 genehmigte der Grosse Stadtrat (Gemeinderat) aber den Bau des dann Petergässchen genannten Teilstücks von der Bahnhofstrasse bis an den Garten des Pfarrhauses von St. Peter. Einem Projekt des Architekten Alexander Koch von 1881, das vorsah, das Strassenprojekt vom Weinplatz zur Bahnhofstrasse doch umzusetzen, erwuchs so viel Widerstand, dass er den Vorstoss 1882 wieder zurückzog. Die verschiedenen Bezeichnungen Petergasse oder St. Petergasse, Peterstrasse oder St. Peterstrasse wurden lange gleichzeitig gebraucht. Ab 1880 hat sich dann aber die Bezeichnung St. Peterstrasse durchgesetzt.;St. Peterstrasse;
48201;Nägelistrasse;10102765;Strasse in Fluntern, die bei ihrer Anlage um 1880 beim 1928 abgebrochenen Nägelihaus, Zürichbergstrasse 42, begann. Die Eigentümer dieses Hauses, die Nägeli, stammten ursprünglich vom Zürichsee, waren aber seit dem 16. Jahrhundert auch in Fluntern verbürgert. Der letzte Gemeindepräsident von Fluntern vor der Eingemeindung nach Zürich im Jahr 1893 war der Landwirt Kaspar Nägeli (1855-1914).;Nägelistrasse;
48205;Rehalpstrasse;10054850;Benannt nach dem Friedhof Rehalp. Die Rehalpstrasse zieht nordöstlich am Friedhof vorbei. Der Name Rehalp geht wohl auf einen Hausnamen zurück. Das Haus an der Forchstrasse 395 (1861-1970) wurde Rehalp genannt. Heute steht an seiner Stelle ein grosses Geschäftshaus.;Rehalpstrasse;
48207;Zelgwiesenstrasse;10056517;Wiese, die in der mittelalterIichen Dreifelderwirtschaft während zweier Jahre bepflanzt und im dritten Jahre als Weide benutzt wurde.;Zelgwiesenstrasse;
48208;Greifenseestrasse;10104123;Greifensee: See und Gemeinde im Kanton Zürich.;Greifenseestrasse;
