;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
6265;10118142;Heim;Heim;;Heim;Heim;;Heimstrasse;;;;;;;;;http://www.wikidata.org/entity/Q56448691;Heim;männlich;;;;;;Person;Q117598;Q5;1845-10-07T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Heim-V%C3%B6gtlin.jpg;female;Person;Heimstrasse;Heim;;;;;Person
6271;10025696;Susten;Sust;;Susten;Susten;;Sustenweg;;Susten;;;Susten;;;;;;;;;;;;Berg;Q666086;Q133056;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Am%20Sustenpass.jpg;;Berg;Sustenweg;Susten;;;;;Berg
6278;10025697;Säntis;Sänti;;Säntis;Säntis;;Säntisstrasse;;;;;Säntis;;;;;;;;;;;;Berg;Q15224;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A4ntis%20-%20Batzberg%20IMG%209803.JPG;;Berg;Säntisstrasse;Säntis;;;;;Berg
6389;10018162;Tannen;Tannen;;Tannen;Tannen;;Tannenstrasse;;Tanne;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Tannenstrasse;Benannt nach dem hier gelegenen und einst ausgedehnten Landgut zur Tanne mit dem gleichnamigen Hauptgebäude an der Sonneggstrasse 3. Dieses wurde 1930 abgetragen. Um 1850 betrieb der Vater des Kunstmalers Rudolf Koller (1828-1905) in der Tanne eine Bierbrauerei mit einem Biergarten.;Tannenstrasse;Lebewesen;Lebewesen
6433;10073036;Föhren;föhren;;Föhren;Föhren;;Föhrenstrasse;Föhre;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Föhrenstrasse;Baumname, Nadelholzbaum (Kiefer).;Föhrenstrasse;Lebewesen;Lebewesen
6441;10018649;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
6444;10073091;Hohenklingen;Hohenklingen;;Hohenklingen;Hohenklingen;;Hohenklingenstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Hohenklingenstrasse;Ein «Grien» oder eine «Klinge» ist eine Kies- und Sandablagerung in einem Fluss. Wahrscheinlich in Anlehnung daran wurde die Kiesablagerung in Höngg, die sich nicht an der Limmat unten, sondern oberhalb der Winzerstrasse befand, hohe Klinge genannt. Hier betrieb die Gemeinde Höngg seit dem 19. Jahrhundert und bis 1930 ihre Gemeindekiesgrube.;Hohenklingenstrasse;Natur;Natur
6482;10210461;Seeblick;Seeblick;LOC;Seeblick;Seeblick;;Seeblickweg;;;;^see;;;;;;;;;;;;;Gewässer;;;;;;;;;Seeblickweg;Frei gewählter Name. Querstrasse zur Seeblickstrasse.;Seeblickweg;Gewässer;Gewässer
6543;10073064;Schönbühl;Schönbühl;;Schönbühl;Schönbühl;;Schönbühlstrasse;;;;;;;;bühl;;;;;;;;;Natur;;;;;;;;;Schönbühlstrasse;Strasse in Hottingen, 1863 angelegt als Privatstrasse beim 1865 erbauten Haus zum Schönbühl, Schönbühlstrasse 20. «Bühl» ist ein häufig vorkommender Flurname für einen Hügel oder Abhang, das Schönbühl bezeichnet somit den schönen, bevorzugten Ort mit Aussicht, an dem das Haus gebaut wurde.;Schönbühlstrasse;Natur;Natur
6561;10073016;Mühlehalde;Mühlehalde;;Mühlehalde;Mühlehalde;;Mühlehalde;;;;;;mühle;;;;;;;;;;;Siedlung;;;;;;;;;Mühlehalde;Flurname: Halde oberhalb der an der Forchstrasse 244-248 gelegenen Mühle Hirslanden. Seit 1393 als Lehen der Fraumünsterabei belegt, gelangte diese 1971 an die Stadt Zürich und ist heute Quartiertreffpunkt.;Mühlehalde;Natur;Natur
6581;10110815;Lägern;Läger;;Lägern;Lägern;;Lägernstrasse;;;;;Lägern;;;;;;;;;;;;Berg;;;;;;;;;Lägernstrasse;Die Lägern ist ein Höhenzug in den Kantonen Zürich und Aargau zwischen Dielsdorf und Baden. Der höchstgelegene Punkt befindet sich bei der Ruine Alt-Lägern (866 m ü. M.).;Lägernstrasse;Berg;Berg
6707;10216350;Schmid;Schmid;;Schmid;Schmid;PER;Schmidgasse;;;;;;;;;;;;;;;;;Person;;;;;;;;;Schmidgasse;"Gasse im Niederdorf, an der und um die herum es mehrere Werkstätten von Schmieden gab; das heutige Haus Schmidgasse 6 hiess 1687 hintere Schmitte. Der Name ist seit dem 17. Jahrhundert gebräuchlich, im 15. Jahrhundert soll die Gasse noch Goldschmiedgasse geheissen haben.";Schmidgasse;Beruf;Beruf
6795;10039127;Waffen;Waffe;;Waffen;waffen;;Waffenplatzstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Waffenplatzstrasse;Strasse, die zum Waffenplatz auf der Brunauer Allmend in Wollishofen führte. Die Allmend wurde von 1877 bis 1986/87 durch die Eidgenossenschaft als Waffenplatz genutzt.;Waffenplatzstrasse;Siedlung;Siedlung
6895;10175107;Brand;Brand;;Brand;Brand;;Brandweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Brandweg;Flurname «Brand», ein durch Niederbrennen von Wald oder Gebüschen gerodetes Grundstück.;Brandweg;Andere;Andere
6900;10210509;Viktoria;Viktoria;;Viktoria;Viktoria;;Viktoriastrasse;;;;;;;;;;;;;;;;;Andere;Q308902;Q205985;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Goldelse%20Siegessaeule%20Berlin.jpg;female;Religion;Viktoriastrasse;Viktoria;;;;;Religion
7069;10039455;Fontana;Fontana;;Fontana;Fontana;;Fontanastrasse;;Font;;;;;;;;;;;;;;;Ortschaft;Q816942;Q5;1450-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Denkmal%20Bendikt%20Fontana.jpg;male;Person;Fontanastrasse;Fontana;;;;;Person
7137;10037999;Damm;Damm;;Damm;Damm;;Dammweg;;;;;;damm;;;;;;;;;;;Siedlung;;;;;;;;;Dammweg;Beim Damm handelt es sich um den Bahndamm für die Strecke von Zürich über den Bahntunnel Wipkingen-Oerlikon nach Winterthur. Er wurde 1853-1856 im Industriequartier und in Wipkingen aufgeschüttet und mit der Eisenbahnbrücke über die Limmat verbunden. Das Teilstück zwischen der Langstrasse und der Limmmatstrasse ist in den 1890er Jahren durch den weiter ausholenden Wipkingerviadukt ersetzt worden. Der Dammweg verläuft entlang dem Eisenbahndamm im Industriequartier.;Dammweg;Siedlung;Siedlung
7249;10077291;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
7260;10052307;Acker;Acker;;Acker;Acker;;Ackerstrasse;;;;;;;;acker;;;;;;;;;Natur;;;;;;;;;Ackerstrasse;Erinnerung an das vor der Überbauung fruchtbare Ackerland von Aussersihl im sogenannten oberen Sihlfeld zwischen der Limmat und der Sihl.;Ackerstrasse;Natur;Natur
7378;10151538;Wasser;Wasser;;Wasser;wasser;;Am Wasser;;;;wasser;;;;;;;;;;;;;Gewässer;;;;;;;;;Am Wasser;1852 errichtete Strasse entlang der Limmat von Wipkingen bis zur Mühlehalde.;Am Wasser;Gewässer;Gewässer
7404;10039474;Kurfirsten;Kurfirst;;Kurfirsten;Kurfirsten;;Kurfirstenstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Kurfirstenstrasse;Bergkette der Appenzeller Alpen zwischen dem oberen Toggenburg und dem Walensee.;Kurfirstenstrasse;Berg;Berg
7457;10111888;Eichhörnli;eichhörnli;;Eichhörnli;Eichhörnli;;Eichhörnliweg;;Eich;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Eichhörnliweg;Tiername: ein Nagetier aus der Familie der Hörnchen.;Eichhörnliweg;Lebewesen;Lebewesen
7475;10207871;Ried;Ried;;Ried;Ried;;Riedweg;;Ried;;;;;;ried$;;;;;;;;;Natur;;;;;;;;;Riedweg;Weg durch das Ried, dürfte hier für gerodetes Waldstück stehen, kann aber auch feuchter Boden oder Weideland bedeuten, das bepflanzt worden ist.;Riedweg;Natur;Natur
7554;10039470;Kalchbühl;Kalchbühl;;Kalchbühl;kalchbühl;;Kalchbühlstrasse;;;;;;;;bühl;;;;;;;;;Natur;;;;;;;;;Kalchbühlstrasse;Strasse auf eine Anhöhe, wo Kalkstein gewonnen und gebrannt wurde.;Kalchbühlstrasse;Andere;Andere
7610;10154836;Glocken;Glocke;;Glocken;Glocken;;Glockengasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Glockengasse;Namengebend war das Haus zur Glocke, Glockengasse 9. Das Haus gehörte 1357 dem Glockengiesser Konrad Gloggner, dessen Beruf und Familienname auch zum Namen der Gasse wurde. Im 18. und noch in der ersten Hälfte des 19. Jahrhunderts hiess nur der Platz auf dem Scheitel der Gasse vor dem Haus zur Glocke Glockengasse, während die schmale Verbindung hinab zur Strehlgasse Knopfgasse genannt wurde.;Glockengasse;Beruf;Beruf
7624;10038825;Splügen;Splüg;;Splügen;splügen;;Splügenstrasse;;Splügen;;;Splügen;;;;;;;;;;;;Berg;;;;;;;;;Splügenstrasse;Gemeinde im Hinterrheintal (Graubünden) und Ausgangspunkt für die Strasse nach Chiavenna über den 2117 Meter hohen Splügenpass.;Splügenstrasse;Berg;Berg
7660;10235198;Neuchatel;Neuchatel;;Neuchatel;Neuchatel;;Route de Neuchâtel;;Neuchatel;;;;;;;;;;;;;;;Ortschaft;Q69345;Q5119;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Vuevilledeneuchatel.jpg;;Ortschaft;Route de Neuchâtel;Neuchatel;;;;;Ortschaft
7667;10026963;Calanda;Calanda;LOC;Calanda;Calanda;;Calandastrasse;;;;;Calanda;;;;;;;;;;;;Berg;;;;;;;;;Calandastrasse;Bergkette in den Kantonen Graubünden und St. Gallen, nordwestlich von Chur (2806 m. ü. M.).;Calandastrasse;Berg;Berg
7674;10096423;Schönegg;schönegg;;Schönegg;Schönegg;;Schöneggstrasse;;;;;;;;egg$;;;;;;;;;Natur;;;;;;;;;Schöneggstrasse;Benannt nach dem 1877/78 erbauten und 1941 abgetragenen Wohnhaus zur Schönegg, Schöneggstrasse 2, bei dem die Strasse an die Langstrasse in Aussersihl anknüpft. Im Jahr 1882 gab es an der Schöneggstrasse ferner neue Häuser mit den Namen Schönau, Schönfels und Schönburg.;Schöneggstrasse;Andere;Andere
7756;10094949;Primel;Primel;;Primel;Primel;;Primelweg;Primel;;;;;;;;;;;;;;;;Lebewesen;Q158974;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Prole%C4%87no%20cve%C4%87e%203.JPG;;Lebewesen;Primelweg;Primel;;;;;Lebewesen
7780;10039427;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
7790;10047302;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
7809;10188607;Huber;Huber;;Huber;Huber;PER;Huberstrasse;;;;;;;;;http://www.wikidata.org/entity/Q55052101;Huber;männlich;1747-02-04T00:00:00Z;1813-06-15T00:00:00Z;http://www.wikidata.org/entity/Q253003;http://www.wikidata.org/entity/Q559135;;Person;Q115883;Q5;1849-07-13T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/EugenHuber.jpg;male;Person;Huberstrasse;Huber;;;;;Person
7812;10039606;Kirchbühl;Kirchbühl;;Kirchbühl;Kirchbühl;;Kirchbühlweg;;;;;;;kirch;bühl;;;;;;;;;Natur;;;;;;;;;Kirchbühlweg;Weg in der Nähe der auf einer Anhöhe («Bühl») gelegenen, 1894-1896 erbauten reformierten Kirche Bühl, Goldbrunnenstrasse 54, in Zürich-Wiedikon.;Kirchbühlweg;Religion;Religion
7886;10077881;Arnika;Arnika;;Arnika;Arnika;;Arnikaweg;Arni;Arni;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Arnikaweg;Blumenname, Arzneipflanze.;Arnikaweg;Lebewesen;Lebewesen
7962;10094074;Nussbaum;Nussbaum;;Nussbaum;Nussbaum;PER;Nussbaumstrasse;Nuss;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Nussbaumstrasse;Baumname.;Nussbaumstrasse;Lebewesen;Lebewesen
8102;10136419;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
8184;10206715;Albula;Albula;LOC;Albula;Albula;LOC;Albulastrasse;;;;Albula;Albula;;;;;;;;;;;;Gewässer;;;;;;;;;Albulastrasse;Zufluss des Hinterrheins und Pass (Passhöhe 2315 m), der das Albulatal mit dem Engadin verbindet. Das Elektrizitätswerk der Stadt Zürich EWZ nutzt die Wasserkraft des Albulaflusses mit diversen Kraftwerken bereits seit 1902 zur Stromerzeugung für die Stadt Zürich.;Albulastrasse;Berg;Berg
8288;10038224;Hohe;hoch;;Hohe;Hohe;LOC;Hohe Promenade;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Hohe Promenade;Der Bau der Hohen Promenade erfolgte von 1784 bis 1789. Die Lage dieses Spazierweges geht auf die Stadtbefestigung des 17. Jahrhunderts zurück. Durch spätere Schulhausbauten zwischen der Schanzengasse und dem Privatfriedhof wurde der südliche Teil der Hohen Promenade stark verändert. Sie beginnt bei einer Art Aussichtskanzel mit Blick vor allem in Richtung Rämistrasse, Winkelwiese und Kunsthaus und endet in einer gut 20 Meter langen Sackgasse neben dem Privatfriedhof über den Schulbauten.;Hohe Promenade;Andere;Andere
8366;10095415;Hirschen;hirschen;;Hirschen;Hirschen;;Hirschengasse;Hirsch;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Hirschengasse;Im 18. Jahrhundert nach dem dortigen Gasthaus zum Hirschen, Niederdorfstrasse 13, benannte Gasse im Niederdorf. Vom 15. bis 17. Jahrhundert hiess sie die kleine Spitalergasse, weil hier (wie auch an der weiten Spitalergasse) das nahe gelegene Spital über Besitz verfügte.;Hirschengasse;Lebewesen;Lebewesen
8371;10039131;Kauffmann;Kauffmann;;Kauffmann;Kauffmann;PER;Kauffmannstrasse;;;;;;;;;;;;;;;;;Person;Q123098;Q5;1741-10-30T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Kauffmann%20-%20Self%20Portrait%20-%201784.jpg;female;Person;Kauffmannstrasse;Kauffmann;;;;;Person
8391;10039448;Distel;Distel;;Distel;Distel;;Distelweg;Distel;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Distelweg;Blumenname, Gattungen von Korbblüten-Gewächsen.;Distelweg;Lebewesen;Lebewesen
8417;10190168;Freihof;Freihof;;Freihof;Freihof;;Freihofstrasse;;;;;;hof$;;;;;;;;;;;Siedlung;;;;;;;;;Freihofstrasse;Im Haus zum Freihof (1833-1958), Badenerstrasse 544, wurde die Gaststätte Freihof betrieben. Im Neubau von 1959 ist sie wieder eröffnet worden.;Freihofstrasse;Andere;Andere
8448;10039634;Wuhr;Wuhr;;Wuhr;Wuhr;;Wuhrstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Wuhrstrasse;Strasse, die ursprünglich ans Sihlhölzli hinführte, wo sich die Sihl in die zwei Arme der wilden und der zahmen Sihl teilte und wo es eine Verbauung, ein Wuhr, hatte. Bei dieser Verbauung wurde das aus dem Sihlwald heruntergeflösste Holz von der wilden Sihl in die zahme Sihl abgeleitet. Aus der zahmen Sihl ist ab 1651 der Sihlkanal entstanden, der zuerst in den Schanzengraben abgeleitet und 1901/02 endgültig zugeschüttet wurde. Mit der Tieferlegung der Eisenbahnlinie vom Hauptbahnhof in die Enge, der linksufrigen Seebahnlinie, wurde der Arm der wilden Sihl beim Sihlhölzli aufgehoben, so dass auch die Strasse nicht mehr bis an die Sihl führt.;Wuhrstrasse;Siedlung;Siedlung
8496;10025215;Winkel;Winkel;;Winkel;Winkel;;Winkelstrasse;;Winkel;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Winkelstrasse;Winkelförmige Strassenführung.;Winkelstrasse;Andere;Andere
8635;10152245;Höfli;Höfli;;Höfli;Höfli;;Höfliweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Höfliweg;Nach einem «Höfli» genannten Landgut, das Erblehen der Abtei Fraumünster war.;Höfliweg;Siedlung;Siedlung
8660;10077200;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
8687;10030447;Kirchen;Kirche;;Kirchen;Kirchen;LOC;Kirchenweg;;;;;;;kirch;;;;;;;;;;Religion;;;;;;;;;Kirchenweg;Der Kirchenweg befindet sich in unmittelbarer Nähe zur 1836-1839 von Architekt Leonhard Zeugheer erbauten Neumünsterkirche in Zürich-Riesbach.;Kirchenweg;Religion;Religion
8741;10109544;Flur;Flur;;Flur;Flur;;Flurstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Flurstrasse;Eine über die freie Wiesenflur führende Strasse.;Flurstrasse;Natur;Natur
8907;10077005;Stations;Stations;;Stations;station;;Stationsstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Stationsstrasse;Strasse zum ehemaligen, 1891 eröffneten Bahnhof Wiedikon an der Seebahnstrasse 118. Mit der Tieferlegung der zwischen 1875 und 1927 oberirdisch geführten Eisenbahn vom Hauptbahnhof in die Enge, der linksufrigen Seebahnlinie, wurden der Bahnhof Wiedikon an die Birmensdorferstrasse 80 verlegt und das Nordostbahn-Stationsgebäude abgebrochen.;Stationsstrasse;Siedlung;Siedlung
8916;10038226;Hörnli;Hörnli;;Hörnli;Hörnli;LOC;Hörnlistrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Hörnlistrasse;Hörnli, Aussichtsberg in der Gemeinde Fischenthal im Zürcher Oberland (1136 m).;Hörnlistrasse;Berg;Berg
8923;10190833;Segantini;Segantini;;Segantini;Segantini;PER;Segantinistrasse;;;;;;;;;;;;;;;;;Person;Q379300;Q5;1858-01-15T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Segantini%20%281858-1899%29%2C%20ritratto.jpg;male;Person;Segantinistrasse;Segantini;;;;;Person
8978;10022315;Neudorf;Neudorf;;Neudorf;Neudorf;LOC;Neudorfstrasse;;Neudorf;;;;dorf;;;;;;;;;;;Siedlung;;;;;;;;;Neudorfstrasse;Strasse durch die 1928 errichtete Überbauung bei der Dörflistrasse.;Neudorfstrasse;Siedlung;Siedlung
9007;10025208;Forellen;Forellen;;Forellen;Forellen;;Forellenweg;Forelle;Forel;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Forellenweg;Weg zur Badeanstalt Wollishofen, einer Kastenbadeanstalt im See (1886-1939). Der Weg wurde wohl im Sinne der Redewendung benannt, dass eine Person wie ein Fisch schwimme.;Forellenweg;Lebewesen;Lebewesen
9017;10111876;Eulen;Eule;;Eulen;Eulen;;Eulenweg;Eule;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Eulenweg;"Tiername, Vogelart. Im selben Gemeinderatsbeschluss von 1933 wurden weitere Strassen nach Vogelarten benannt (Kolibriweg; Fasanenweg, 1950 in die Rautistrasse einbezogen).";Eulenweg;Lebewesen;Lebewesen
9123;10175209;Dahlia;Dahlia;;Dahlia;Dahlia;;Dahliastrasse;Dahlia;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Dahliastrasse;Im Jahr 1876 angelegte Verbindungsstrasse in Riesbach, benannt nach dem Namen des 1853 erstellten und 1945 abgetragenen Eckhauses an der Seefeldstrasse. Dahlien waren bereits im 19. Jahrhundert auch in unserer Gegend beliebte Zierpflanzen.;Dahliastrasse;Lebewesen;Lebewesen
9149;10223007;Midi;Midi;;Midi;Midi;;Rue du Midi;;;;;;;;;;;;;;;;;Andere;Q168182;Q25235;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Ben%20um%2012%20Uhr.jpg;;Andere;Rue du Midi;Midi;;;;;Andere
9221;10136719;Bienen;biener;;Bienen;Bienen;;Bienenstrasse;Biene;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Bienenstrasse;Tiername: Hinweis auf Bienenstände, die sich früher dort befanden.;Bienenstrasse;Lebewesen;Lebewesen
9266;10068093;Bach;Bach;;Bach;Bach;PER;Am Bach;;;;bach$;;;;;http://www.wikidata.org/entity/Q1861386;Bach;männlich;1882-11-09T00:00:00Z;1953-11-19T00:00:00Z;http://www.wikidata.org/entity/Q596028;http://www.wikidata.org/entity/Q214432;;Gewässer;;;;;;;;;Am Bach;Weg entlang des Holderbaches, des Dorf- und Mühlebachs in Affoltern.;Am Bach;Gewässer;Gewässer
9283;10136546;Epinettes;Epinette;;Epinettes;epinette;;Chemin des Epinettes;epine;;;;;;;;;;;;;;;;Lebewesen;Q26782;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelmann%20Spruce%20cones%20RMNP.jpg;;Lebewesen;Chemin des Epinettes;Epinettes;;;;;Lebewesen
9361;10114245;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
9384;10131927;Elsa;Elsa;;Elsa;Elsa;;Elsastrasse;;;;;;;;;;;;;;;;;Andere;Q51839161;Q5;1896-06-06T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Elsa%20Gasser%202.jpg;female;Person;Elsastrasse;Elsa;;;;;Person
9419;10235204;Vignes;Vignes;;Vignes;Vignes;;Chemin des Vignes;Vignes;;;;;;;;;;;;;;;;Lebewesen;Q3248828;Q55983715;9999;kein;;Lebewesen;Chemin des Vignes;Vignes;;;;;Lebewesen
9447;10039195;Spital;Spital;;Spital;spital;;Spitalgasse;;;;;;spital;;tal$;;;;;;;;;Natur;;;;;;;;;Spitalgasse;Gasse, die im Jahr ihrer Benennung 1865 durch den alten Spital hindurchführte. Das Spital von Zürich wurde im 12. Jahrhundert durch die Herzöge von Zähringen gegründet. Es bestand vom 16. bis ins beginnende 19. Jahrhundert aus verschiedenen Gebäuden im Bereich der heutigen Spitalgasse und bei der Predigerkirche. Nach dem Neubau des Kantonsspitals in Fluntern diente das alte Spital von 1839 bis 1867 als Versorgungsanstalt für alte und gebrechliche Personen. 1875/78 wurden die alten Spitalgebäude zugunsten eines neuen Häuserquartiers mit breiten Strassen beseitigt.;Spitalgasse;Siedlung;Siedlung
9520;10094936;Holunder;Holunder;;Holunder;Holunder;;Holunderweg;Holunder;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Holunderweg;Strauchname.;Holunderweg;Lebewesen;Lebewesen
9532;10222931;Casino;Casino;;Casino;casino;;Rue du Casino;;;;;;casino;;;;;;;;;;;Siedlung;Q29891779;Q24354;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Picswiss%20VD-47-29.jpg;;Siedlung;Rue du Casino;Casino;;;;;Siedlung
9608;10157753;Süd;Süd;;Süd;süd;;Südstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Südstrasse;"Strasse in Riesbach, die bis 1892 Rankstrasse hiess; die Umbenennung erfolgte, weil es auch in Hirslanden eine Rankstrasse gab. Der neue Name rührte wohl von der Lage und der Richtung der Strasse im Süden der Stadt her, die 1893 durch die erste Eingemeindung zur Grossstadt wurde; im westlichen Wiedikon gab es seit 1892/93 entsprechend eine Weststrasse.";Südstrasse;Andere;Andere
9685;10210475;Stein;Stein;;Stein;Stein;;Steinstrasse;Stein;Stein;;;;;;;http://www.wikidata.org/entity/Q95123475;Stein;;;;;;;Lebewesen;;;;;;;;;Steinstrasse;Erinnerung an die seit dem 16. Jahrhundert hier bezeugten Flurnamen «Steinacker» oder «Steinzelg», die auf den mit Geröll der Sihl durchsetzten Ackerboden hinweisen.;Steinstrasse;Natur;Natur
9751;10250374;Egg;Egg;;Egg;Egg;;Eggweg;;;;;;;;egg$;http://www.wikidata.org/entity/Q37946238;Egg;;;;;;;Natur;;;;;;;;;Eggweg;Flurname «auf der Egg», d. h die Flur auf der Ecke (Hügelvorsprung).;Eggweg;Natur;Natur
9760;10256945;Panorama;Panorama;;Panorama;panorama;;Panoramaweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Panoramaweg;Weg an aussichtsreicher Lage am Hang des Uetlibergs.;Panoramaweg;Andere;Andere
9795;10117255;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
9821;10077196;Lager;Lager;;Lager;lager;;Lagerstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Lagerstrasse;Strasse in Aussersihl, bei der nach 1860 Eisenbahnwerkstätten und der sogenannte Rohmaterialienbahnhof mit zahlreichen Lagerhäusern entstand.;Lagerstrasse;Siedlung;Siedlung
9872;10146586;Schwanen;Schwanen;;Schwanen;Schwanen;;Schwanengasse;Schwan;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Schwanengasse;Quergasse zur Schipfe hin, die im 18. Jahrhundert nach dem dort gelegenen Wirtshaus zum Schwanen, Schwanengasse 2, abgetragen 1969, benannt wurde. Die Gasse hiess seit dem 15. Jahrhundert Blüemlisgasse, Blumengasse und später auch Rindsfussgasse, letzteres, weil sich das Wirts- und Gasthaus zum Schwanen bis um 1727 zum Rindsfuss nannte und erst danach den eleganteren Namen annahm.;Schwanengasse;Lebewesen;Lebewesen
9955;10037657;Otto;Otto;;Otto;Otto;;Ottostrasse;;;;;;;;;http://www.wikidata.org/entity/Q44825;Otto;männlich;1848-04-27T00:00:00Z;1916-10-11T00:00:00Z;http://www.wikidata.org/entity/Q1726;http://www.wikidata.org/entity/Q567568;;Person;;;;;;;;;Ottostrasse;Männlicher Vorname.;Ottostrasse;Person;Person
10218;10094070;Bannholz;Bannholz;;Bannholz;Bannholz;;Bannholzstrasse;;;;;;;;holz;;;;;;;;;Natur;;;;;;;;;Bannholzstrasse;Flurname: Bannwald, d. h. Wald, in welchem der Holzschlag verboten war.;Bannholzstrasse;Natur;Natur
