id;str_nr;str_name;str_st_bezeichnung;str_von;str_bis;str_kreis;str_planquadrat;str_vb;str_up_kanton;snb_str_nr_ref;snb_erlaeuterung;snb_tafeltext_1;snb_tafeltext_2;objectid
2247;641;Gellertstrasse;gültig;Oberer Gloriasteig;Hochstrasse 80;7;P 13;FL;2308+2408;641;Christian Fürchtegott Gellert (1715-1769): Deutscher Dichter der Aufklärung, bekannt durch seine geistlichen Lieder und Fabeln. Seine Werke mischten moralisch-erzieherische Absichten mit Unterhaltsamkeit, was viele davon zu Bestsellern machte.;"Christian Fürchtegott Gellert (1715-1769)
Deutscher Lieder- und Fabeldichter";;8199
376;642;Gemeindestrasse;gültig;Zeltweg 25;Baschligplatz;7;O/P 14;HO;2408;642;1820 erstes Schulhaus Hottingens an der Gemeindestrasse 54. Nach Um- und Erweiterungsbauten 1840 Nutzung der Liegenschaft als Schul- und Gemeindehaus mit Kanzlei. 1890 Umbau zum Verwaltungsgebäude. Heute Kreisbüro 7 und Polizeiwache Hottingen.;;;6362
1552;644;General-Guisan-Quai;gültig;Bürkliplatz;Breitingerstrasse /Mythenquai;1+2;N 14/15;AA/EN;2407+2507;644;Henri Guisan (1874-1960): Oberbefehlshaber der schweizerischen Armee im Zweiten Weltkrieg von 1939 bis 1945. Die anfängliche Verteidigungslinie der Schweizer Armee während des Zweiten Weltkriegs, die sogenannte Limmatstellung, sollte in Zürich zum Teil entlang des heutigen General-Guisan-Quai verlaufen. Mit seinem Rapport vom 25. Juli 1940 auf dem Rütli, in welchem er die Stratgie des Reduits ankündigte, wurde diese Limmatstellung hinfällig.;;;7514
1261;645;General-Wille-Strasse;gültig;General-Guisan-Quai /Genferstrasse;Tessinerplatz;2;N 14/15;EN;2507;645;Ulrich Wille (1848-1925): Oberbefehlshaber der schweizerischen Armee im Ersten Weltkrieg von 1914 bis 1918. Wille begann seine Karriere 1872 als Instruktor und wurde 1892 zum Waffenchef der Kavallerie ernannt, provozierte aber schon 1896 seine Entlassung. 1901 übernahm er die Redaktion der «Allgemeinen Schweizerischen Militärzeitschrift» und setzte sich für eine konsequente Modernisierung der Schweizer Armee nach preussischem Vorbild ein. Daneben kandidierte er erfolglos für den Zürcher Stadtrat und den Nationalrat. Ab 1903 war er Dozent, ab 1907 Professor für Militärwissenschaft am Eidgenössischen Polytechnikum Zürich, wo er 1911 eine Militärschule für Instruktionsoffiziere innerhalb der militärwissenschaftlichen Abteilung schuf. 1904 wurde er als Kommandant des 3. Armeekorps zum Korpskommandanten ernannt und leitete 1912 das sogenannte Kaisermanöver anlässlich des Staatsbesuchs des deutschen Kaisers Wilhelm II. Ulrich Wille war umstritten wegen des von ihm geforderten Einsatzes der Armee gegen Arbeiter im Landestreik 1918 und wegen seiner offenen Sympathie zum Deutschen Kaiserreich.;"Ulrich Wille (1848-1925)
Oberbefehlshaber der Schweizer Armee im ersten Weltkrieg 1914 bis 1918";;7220
2050;646;Genferstrasse;gültig;General-Guisan-Quai 38;Bleicherweg 37;2;N 14;EN;2407+2507;646;"Benennung in Würdigung der besonderen Beziehungen zwischen Genf und Zürich; in Genfer Paquis-Quartier gibt es im Gegenzug eine Rue de Zurich.";;;8010
1066;2484;Genossenschaftsstrasse;gültig;Andreasstrasse;Hagenholzstrasse /Cordelia-Guggenheim-Weg;12;P 8;SW;2108;2484;Die Genossenschaftsstrasse bezieht sich einerseits auf das Projekt der Genossenschaftssiedlung «Mehr als Wohnen», welches von den verschiedenen Baugenossenschaften der Stadt Zürich getragen wird und eine Innovations- und Lernplattform für alle Baugenossenschaften bietet. Andererseits ist sie eine Anerkennung für die herausragende Bedeutung des genossenschaftlichen Wohnungsbaus in der Stadt Zürich.;;;7033
1519;647;Georg-Baumberger-Weg;gültig;Borrweg 79;Friesenbergstrasse 233;3;K 15;WD;2506;647;Georg Baumberger (1855-1931): Politiker, Journalist und Schriftsteller. Baumberger war Redaktor der «Appenzeller Nachrichten» 1881-1886, Chefredaktor der Zeitung «Die Ostschweiz» 1886-1904 und schliesslich Redaktor der «Neuen Zürcher Nachrichten» 1904-1919. Er setzte sich ein für die katholische Diaspora in Zürich und wurde einer der Hauptexponenten der christlichsozialen Bewegung. So beteiligte er sich an der Gründung des Schweizerischen Katholischen Volksvereins 1905 und der Christlichsozialen Partei des Kantons Zürich 1906 und vertrat diese als Parlamentarier im Zürcher Grossen Stadtrat 1913-1931, Kantonsrat 1917-1920 und Nationalrat 1919-1931. Er verfasste ferner zahreiche volkskundliche, sozialwirtschaftliche, religiöse und politische Schriften und Reisebeschreibungen.;"Georg Baumberger (1855-1931)
Politiker und Schriftsteller";;7480
654;648;Georg-Kempf-Strasse;gültig;Furttalstrasse 69;westl. Sackgasse;11;J 7;AF;2006;648;Georg Kempf (1895-1961): Industrieller und Politiker. Kempf betrieb an der Furttalstrasse eine chemische Fabrik und hatte die Alleinvertretung der Produkte der spanischen Kosmetikfirma Myrurgia (u.a. die berühmte Seife «Goyesca»). Kempf war freisinniges Mitglied des Zürcher Gemeinderates 1940-1958, den er 1954-1955 präsidierte. Kempf wurde als Gönner und Förderer von Affoltern bezeichnet, da er unter anderem den Gewerbeverein Kreis 11 und den Quartierverein Affoltern mitgründete und letzteren auch präsidierte, sich in der Kreisschulpflege Glattal engagierte und als Zunftmeister in der Zunft St. Niklaus amtete.;"Georg Kempf (1895-1961)
Ein Gönner und Förderer Affolterns";;6607
1614;649;Georgengasse;gültig;Nordstrasse 15;Stampfenbachstrasse 123;6;N 12;UN;2307;649;Georg Syz (1843-1878): Friedensrichter von Unterstrass. Gemäss der Gemeindegeschichte von Unterstrass ein «liebenswürdiger» Mann, der «vielleicht auf der Leiter der öffentlichen Ämter noch weiter hinauf gestiegen wäre, hätte ihn nicht im besten Mannesalter eine jähe Krankheit dahin gerafft».;;;7573
1538;650;Geranienstrasse;gültig;Ceresstrasse 21;Münchhaldenstrasse 33;8;P 15/16;RI;2508;650;Blumenname, Pelargonienart.;;;7500
1038;651;Gerbergasse;gültig;Uraniastrasse /Seidengasse;Löwenstrasse;1;N 13;AA;2407;651;Teil des in den 1860er Jahren neu gestalteten Bahnofquartiers, benannt nach der seit 1830 an der Gasse angesiedelten Gerberei von Johannes Fierz. An der Gerbergasse gab es um 1865 nur zwei Gebäude: die Gerberei (abgetragen 1913) und einen dazugehörigen Schopf (abgetragen 1901).;;;6996
2093;652;Gerechtigkeitsgasse;gültig;Selnaustrasse 11;Freigutstrasse 36;1;M/N 14;AA;2407;652;Einsatz für die Gerechtigkeit war Aufgabe des Bezirksgerichts Zürich, das von 1859 bis 1916 im damals neuen Bezirksgebäude an der Selnaustrasse 9 tagte. Das Gericht sollte auch für die Wahrung des Friedens sorgen, weshalb die benachbarte Parallelgasse Friedensgasse getauft wurde.;;;8238
716;653;Gerhardstrasse;gültig;Seebahnstrasse 31;Weststrasse 60;3;M 14;WD;2407;653;Männlicher Vorname.;;;6668
860;654;Germaniastrasse;gültig;Hadlaubstrasse 115;Susenberg- /Freudenbergstrasse;6;O 11;OB;2308;654;Germaniahügel (ursprünglich Hochbuck), wo die Studentenverbindung Germania ihren Stammbaum, eine Linde (Germanialinde) pflanzte, in der Absicht, hier ihr Stiftungsfest zu feiern. 1875 wurde das Grab des 1837 in Zürich verstorbenen Georg Büchner auf den Germaniahügel beim Rigiblick versetzt.;;;6814
613;655;Geroldrampe;gültig;Geroldstrasse 4;Hardbrücke;5;L 11/12;IQ;2307;655;Zu- und Abfahrtsrampe von der Geroldstrasse auf die Hardbrücke beim Bahnhof Hardbrücke. Gerold ist ein männlicher Vorname.;;;6568
2332;656;Geroldstrasse;gültig;Viaduktstrasse;Hardstrasse 221;5;L 11/12;IQ;2307;656;Männlicher Vorname.;;;8292
2328;657;Gerstenstrasse;gültig;Sihlquai;Limmatstrasse 291;5;M 11;IQ;2307;657;Getreide, das als Malz bei der Bierherstellung Verwendung findet. Die Strasse liegt bei der ehemaligen Brauerei «Löwenbrau Zürich AG» (1890-1986) und gegenüber der 1843 eröffneten Stadtmühle Zürich, seit 1998 Swissmill.;;;8288
1955;658;Gertrud-Kurz-Strasse;projektiert;Birchstrasse;Rosa-Bloch-Weg;11;N 8;OE;2107;658;"Gertrud Kurz-Hohl (1890-1972): Friedensaktivistin und so genannte «Flüchtlingsmutter». Gertrud Kurz schloss sich 1931 der Internationalen Friedensorganisation der Kreuzritter an (ab 1947 Internationaler Christlicher Friedensdienst) und wurde 1937 Präsidentin des schweizerischen Zweiges. In der Folge des nationalsozialistischen Novemberpogroms von 1938 organisierte sie eine Weihnachtsfeier, zu der auch Flüchtlinge eingeladen waren, woraus sich die Flüchtlingshilfe der Kreuzritter entwickelte, die sich 1941 der Schweizerischen Zentralstelle dür Flüchtlingshilfe anschloss. Kurz war eine unermüdliche Kämpferin gegen die restriktive Flüchtlingspolitik; so hat sie 1942 den damaligen Bundesrat Eduard von Steiger in einem persönlichen Gespräch auf die menschlichen Tragödien der Grenzsschliessung für Flüchtlinge hingewiesen. Sie setzte ihre Engagements in der Flüchtlingshilfe und der Friedenarbeit bis an ihr Lebensende fort, wofür sie auch geehrt wurde, etwa mit dem Ehrenzeichen des Deutschen Roten Kreuzes 1956, der theologischen Ehrendoktorwürde der Universität Zürich 1958 oder dem Internationalen Albert-Schweitzer-Preis 1965.";;;7911
359;659;Gertrudstrasse;gültig;Sihlfeldstrasse 45;Haldenstrasse 170;3;L 13/14;WD;2406+2407;659;Gertrud Heinzelmann (1914-1999): Anwältin und Frauenrechtlerin. Forderte die Gleichstellung der Geschlechter im Staat und in der katholischen Kirche sowie die Frauenordination. Schule und Studium der Jurisprudenz in Zürich, Promotion 1942. Von 1956 bis 1976 war sie im Zentralvorstand des Schweizerischen Verbands für Frauenstimmrecht, den sie 1959/60 präsidierte. Von 1963 bis 1976 arbeitete sie als Leiterin des Büros gegen Amts- und Verbandswillkür im Migros-Genossenschafts-Bund. 1962 forderte Heinzelmann mit einer Eingabe an das Zweite Vatikanische Konzil die Gleichstellung der Geschlechter in der katholischen Kirche und die Frauenordination. 1964 gründete sie den Verlag Interfeminas, der feministische Schriften herausgibt. 1972 wurde sie in die Synode 72 des Bistums Chur berufen. Gertrud Heinzelmann wurde 1981 mit dem Binet-Fendt-Preis und 1991 mit dem Ida-Somazzi-Preis ausgezeichnet.;"Gertrud Heinzelmann (1914-1999)
Anwältin und Frauenrechtlerin
Forderte die Gleichstellung der Geschlechter im Staat und in der katholischen Kirche sowie
die Frauenordination";;6316
1462;660;Gessnerallee;gültig;Sihlstrasse 95;Bahnhofplatz 14 /Postbrücke;1;N 13;AA;2307+2407;660;Salomon Gessner (1730-1788): Maler und Dichter von Idyllen. Die als Allee angelegte ehemalige Promenade von der Sihlporte in den Schützenplatz führte zum 1793 errichteten Denkmal von Salomon Gessner. Durch den Bau des 1847 eröffneten Hauptbahnhofes wurde die Spitze des Schützenplatzes, der Platzspitz, abgetrennt und die Allee unterbrochen. Das auf der Seite des Bahnhofquartiers verbleibende Teilstück der Allee wurde im Zusammenhang mit der Neuanlage des Bahnhofquartiers und der Ableitung des Schanzengrabens in die Sihl in den 1860er Jahren zur Strasse ausgebaut und Salomon Gessner gewidmet. Dieser war zu seiner Zeit einer der bekanntesten deutschsprachigen Autoren. Er arbeitete als Buchdrucker und Verleger und war Teilhaber der Orell, Gessner & Co., dem bedeutendsten Verlag der Aufklärung in der Schweiz. Er gründete 1780 die Zürcher Zeitung, die Vorläuferin der Neuen Zürcher Zeitung, war Teilhaber und künstlerischer Leiter der Porzellanmanufaktur im Schooren bei Kilchberg sowie Mitgründer der Helvetischen Gesellschaft von 1760. Als Ratsherr war Gessner unter anderem auch Sihlherr, also Verwalter des Sihlwaldes.;"Salomon Gessner (1730-1788)
Zürcher Maler und Dichter, Verleger und
Oberaufseher des städtischen Sihlwaldes
(«Sihlherr»)";;7421
1624;661;Gessnerbrücke;gültig;Gessnerallee;Kasernenstrasse 95;1+4;N 13;AA/AU;2407;661;Die ursprüngliche Gessnerbrücke wurde 1885 von der Gemeinde Aussersihl als Eisenkonstruktion errichtet und ist 1933 und 2006 durch Betonbrücken ersetzt worden. Sie ist benannt nach Salomon Gessner (1730-1788). Gessner war ein europaweit bekannter und verehrter Dichter und Maler von Idyllen. Er arbeitete als Buchdrucker und Verleger und war Teilhaber der Orell, Gessner & Co, dem bedeutendsten Verlag der Aufklärung in der Schweiz. Er gründete 1780 die Zürcher Zeitung, die Vorläuferin der Neuen Zürcher Zeitung, war Teilhaber und künstlerischer Leiter der Porzellanmanufaktur im Schooren bei Kilchberg, sowie Mitgründer der Helvetischen Gesellschaft von 1760. Als Politiker wurde Gessner unter anderem auch Sihlherr, also Verwalter des Sihlwaldes.;;;7580
1503;662;Gfellstrasse;gültig;Allmendstrasse /Brunaubrücke;Gänziloobrücke;2;L/M 16;WO;2507+2607;662;Flurname «Gfell», d. h. abfallendes Gelände.;;;7457
214;2325;Giacomettistrasse;gültig;Gsteigstrasse;Giacomettiweg;10;K 9;HG;2206;2325;Die Mitglieder der Famlie Giacometti aus dem Bergeller Dorf Stampa bildeten die wohl bedeutendste Künstlerdynastie der Schweiz. Giovanni Giacometti (1868-1933) führte mit Cuno Amiet den Stil des Post-Impressionismus in der Schweiz ein und hatte 1912 eine eigene Ausstellung im Kunsthaus Zürich. Sein Cousin Augusto (1877-1947) war engstens mit Zürich verbunden, wo er seit 1915 seinen ständigen Wohnsitz hatte und in der Nachfolge des Jugendstils und des Symbolismus neben populär gewordenen Plakaten auch Werke der Glasmalerei, wie die Chorfenster in Grossmünster und ein Kirchenfenster im Fraumünster, oder monumentale Wandmalereien, wie in der Eingangshalle des Amtshauses I (Giacometti-Halle, die so genannte «Blüemlihalle»), schuf. Der Sohn von Giovanni Giacometti, Alberto (1901-1966), ist einer der international bedeutendsten Bildhauer des 20. Jahrhunderts geworden. Dank der Leihgaben der 1965 gegründeten Alberto-Giacometti-Stiftung Zürich verfügen das Kunsthaus Zürich und die Fondation Beyeler in Riehen über die umfangreichste Sammlung der Werke von Alberto Giacometti.;"Alberto, Antonio Augusto und Giovanni Giacometti
Alberto (1901-1966)
Antonio Augusto (1877-1947)
Giovanni (1868-1933)
Bildende Künstler aus dem Bergeller Dorf Stampa";;6171
1596;2331;Giacomettiweg;gültig;Bläsistrasse;Giacomettistrasse;10;K 9;HG;2206;2331;Die Mitglieder der Famlie Giacometti aus dem Bergeller Dorf Stampa bildeten die wohl bedeutendste Künstlerdynastie der Schweiz. Giovanni Giacometti (1868-1933) führte mit Cuno Amiet den Stil des Post-Impressionismus in der Schweiz ein und hatte 1912 eine eigene Ausstellung im Kunsthaus Zürich. Sein Cousin Augusto (1877-1947) war engstens mit Zürich verbunden, wo er seit 1915 seinen ständigen Wohnsitz hatte und in der Nachfolge des Jugendstils und des Symbolismus neben populär gewordenen Plakaten auch Werke der Glasmalerei, wie die Chorfenster in Grossmünster und ein Kirchenfenster im Fraumünster, oder monumentale Wandmalereien, wie in der Eingangshalle des Amtshauses I (Giacometti-Halle, die so genannte «Blüemlihalle»), schuf. Der Sohn von Giovanni Giacometti, Alberto (1901-1966), ist einer der international bedeutendsten Bildhauer des 20. Jahrhunderts geworden. Dank der Leihgaben der 1965 gegründeten Alberto-Giacometti-Stiftung Zürich verfügen das Kunsthaus Zürich und die Fondation Beyeler in Riehen über die umfangreichste Sammlung der Werke von Alberto Giacometti.;;;7557
142;663;Giblenstrasse;gültig;Regensdorferstrasse 152;Rütihofstrasse;10;G/H 8;HG;2105;663;Der Flurname «Giblen» (1532) bezeichnet den Gipfel eines Hügels oder überhaupt einen Hügel.;;;6104
510;664;Giblenweg;gültig;Giblenstrasse 51;südl. Sackgasse;10;H 8;HG;2105;664;Der Flurname «Giblen» (1532) bezeichnet den Gipfel eines Hügels oder überhaupt einen Hügel.;;;6465
384;665;Giebeleich;gültig;Schärenfeld 30;Schärenmoosstrasse 12;11;O 7;SE;2008;665;Flurname: Eiche auf der Kuppe eines Hügels.;;;6341
531;666;Giessereistrasse;gültig;Hardstrasse;Förrlibuckstrasse;5;L 11;IQ;2307;666;Strasse bei der ehemaligen Giesserei der Maschinenfabrik Escher-Wyss.;;;6495
873;2381;Giesshübelbrücke;gültig;Sihlpromenade;Manessestrasse;2+3;M 14/15;EN/WD;2507;2381;Brücke der Sihltal-Zürich-Uetliberg-Bahn SZU mit beidseitigem beleuchtetem Fussweg über die Sihl, welche von der Sihlpromenade bis zur Manessestrasse beim Bahnhof «Giesshübel» führt. Der Name Giesshübel bedeutet Kieshügel, weist also auf Kiesablagerungen der Sihl hin.;;;6827
1690;668;Giesshübelstrasse;gültig;Manessestrasse /Utobrücke;Uetlibergstrasse 174;3;L/M 15;WD;2507;668;Benannt nach der alten, ab dem 16. Jahrhundert erwähnten Ortsgegend «Giesshübel» oder «Giessübel» am linken Ufer der Sihl in Wiedikon, noch um 1840 erst aus einem Hof oder Wohnhaus bestehend. Der Name bedeutet Kieshügel, weist also auf Kiesablagerungen der Sihl hin.;;;7650
950;669;Gimpelweg;gültig;Martinsrütistrasse;Räuberweg;10;J 7/8;HG;2106;669;Tiername, Vogelart aus der Familie der Finken.;;;6907
2320;670;Ginsterstrasse;gültig;Mühlezelgstrasse 29;Grütstrasse 41;9;J 13;AR;2406;670;Strauchname: wohlriechender, aber giftiger Strauch der Art Schmetterlingsblütler.;;;8281
834;671;Ginsterweg;gültig;Albisriederstrasse 281;Grütstrasse 28;9;J 13;AR;2406;671;Strauchname: wohlriechender, aber giftiger Strauch der Art Schmetterlingsblütler.;;;6790
1296;672;Girhaldenstrasse;gültig;Dachslernstrasse 41;Friedhofstrasse 66;9;G/H 11;AL;2305;672;Flurname, vermutlich mit der Bedeutung «Gir», d. h. Geier oder allgemein Raubvogel, und somit sinngemäss Halde, an der vermehrt Raubvögel gesichtet wurden.;;;7352
1451;673;Girhaldenweg;gültig;Friedhofstrasse 62;westl. Sackgasse;9;G 12;AL;2305;673;Flurname, vermutlich mit der Bedeutung «Gir», d. h. Geier oder allgemein Raubvogel, und somit sinngemäss Halde, an der vermehrt Raubvögel gesichtet wurden.;;;7411
1749;674;Gladbachstrasse;gültig;Vogelsangstrasse 33;Kraft- /Zürichbergstrasse;6+7;O 12-P 13;OB/FL;2308+2408;674;Ernst Georg Gladbach (1812-1896): Professor für Baukonstruktionslehre und Baumateriallehre am Eidgenössischen Polytechnikum Zürich 1857-1890, widmete sich dem Studium der Schweizer Holzbauten.;;;7705
2393;675;Gladiolenweg;gültig;Edelweissstrasse;Edelweissstrasse;9;J 12;AL;2306;675;Blumenname, Schwertliliengewächs. Der Gladiolenweg hiess vor 1933 Narzissenweg.;;;8351
264;676;Glärnischstrasse;gültig;Claridenstrasse 8;Bleicherweg 7;2;N 14;EN;2407;676;Benannt nach dem Gebirgsmassiv im Glarnerland mit dem Vrenelisgärtli (2904 M. ü. M.) als seinem höchsten Gipfel. In der Enge wurden um 1880/90 mehrere neue Strassen um den damals angelegten Alpenquai am Zürichsee nach Schweizer Bergen benannt, die zum Teil vom Quai aus sichtbar waren.;;;6219
1589;677;Glasmalergasse;gültig;Bäckerstrasse 20;Müllerstrasse 31;4;M 13;AU;2407;677;Benannt nach dem Gewerbe des Glasmalers Karl Andreas Wehrli (1843-1902), welcher der Gemeinde kostenlos das Land zum Bau der Strasse abtrat. Karl Wehrli schuf unter anderem Glasfenster in Kirchen.;;;7551
259;679;Glättlistrasse;gültig;Girhaldenstrasse 36;Loogartenstrasse 15;9;G 11;AL;2305;679;"Alteingesessenes Geschlecht Glättli; der erste Glättli, Johannes Glättli von Bonstetten (1794-1851), erwarb das Bürgerrecht von Altstetten 1830.";;;6226
1785;680;Glattstegweg;gültig;Herzogenmühlestrasse 25;Grenze Wallisellen;12;Q/R 8;SW;2108+2109;680;Weg vom ehemaligen Dorf Schwamendingen zum Steg über die Glatt bei der Herzogenmühle.;;;7741
668;678;Glatttalstrasse;gültig;Schaffhauserstrasse 519;Grenze Rümlang;11;N 5-O 6;SE;1907+2007+2008;678;Glatt: Ruhig oder «glatt» fliessender Seeabfluss aus dem Greifensee in den Rhein.;;;6620
2092;681;Glattwiesenstrasse;gültig;Dübendorfstrasse 147;Winterthurerstrasse 660;12;R 9;SW;2109+2209;681;Flurname «Glattwiesen», Wiesen an der Glatt, dem ruhig oder «glatt» fliessenden Seeabfluss aus dem Greifensee in den Rhein.;;;8052
874;682;Glaubtensteig;gültig;Wehntalerstrasse 337;Obsthaldenstrasse 50;11;L 8;AF;2107;682;Steig beim Glaubten, einem Wald mit dichtem Laubbaumbestand.;;;6836
1088;683;Glaubtenstrasse;gültig;Wehntalerstrasse 381;Schauenberg- /Emil-Klöti-Strasse;10+11;K/L 8;HG/AF;2106+2107;683;Strasse entlang dem Glaubten, einem Wald mit dichtem Laubbaumbestand.;;;7047
1974;2400;Gleisbogen;gültig;Hardstrasse /Maagplatz;Förrlibuckstrasse;5;L 11/12;IQ;2306+2307;2400;Mit Ginkgobäumen gesäumter und in roter Farbe gehaltener Fuss- und Radweg zwischen Hardturmstrasse und Bahnhof Hardbrücke, welcher dem früheren Industriegeleise folgt.;;;7928
1435;684;Gletscherstrasse;gültig;Wildbachstrasse 17;östl. Sackgasse;8;P 15;RI;2508;684;Hinweis auf die Gletscherfindlinge, die beim Bau der Seebahn hier gefunden wurden.;;;7395
1686;2341;Glimmerweg;gültig;Quarzstrasse;Heilighüsli;7;R/S 15;WI;2509;2341;Anlehnung an die lokalen geologischen Gegebenheiten in Zürich-Witikon. Glimmer: gesteinsbildendes Mineral. Wichtige Glimmer sind: Biotit, Murkovit, Paragonit u. a.;;;7646
1478;685;Glockengasse;gültig;Strehlgasse;Augustinergasse 14;1;N 13;AA;2407;685;Namengebend war das Haus zur Glocke, Glockengasse 9. Das Haus gehörte 1357 dem Glockengiesser Konrad Gloggner, dessen Beruf und Familienname auch zum Namen der Gasse wurde. Im 18. und noch in der ersten Hälfte des 19. Jahrhunderts hiess nur der Platz auf dem Scheitel der Gasse vor dem Haus zur Glocke Glockengasse, während die schmale Verbindung hinab zur Strehlgasse Knopfgasse genannt wurde.;;;7436
544;686;Gloriasteig;gültig;Nägelistrasse 4;Gloriastrasse 68;7;P 13;FL;2408;686;Verbindungsgässchen von der Nägelistrasse an die Gloriastrasse. Die Herknunft des Namens ist unbekannt, vermutet wurde auch schon ein (allerdings nicht belegter) Hausname «Gloria».;;;6498
2271;687;Gloriastrasse;gültig;Rämistrasse 71;Zürichbergstrasse /Vorderberg;7;O/P 13;FL;2408;687;Name der bis 1890 als neue Bergstrasse bezeichneten Strasse am Zürichberg. Der Grund für die Benennung ist unbekannt, vermutet wurde auch schon ein (allerdings nicht belegter) Hausname «Gloria».;;;8229
1111;688;Gmeimeriweg;gültig;Anemonenstrasse 37;Rautistrasse 8;9;J 12;AR;2306;688;Flurname «daz gemein mark» (1345), «Gmeumerig» (1806), alte Bezeichnung für Gemeinwerk, gemeinsame March, Allmend.;;;7070
1941;689;Goethestrasse;gültig;Theaterstrasse;Stadelhoferstrasse 8;1;O 14;AA;2408;689;Johann Wolfgang von Goethe (1749-1832): Deutscher Dichter und Minister in Weimar. Goethe gehört als Verfasser von Gedichten wie die «Römischen Elegien» oder «Der west-östliche Divan», Romanen wie «Die Leiden des jungen Werthers», «Wahlverwandtschaften» und Dramen wie «Götz von Berlichingen», «Iphigenie auf Tauris» und «Faust» zu den bedeutendsten Autoren überhaupt. Er schrieb auch Tausende von Briefen und naturwissenschaftliche Studien. Er wurde von Herzog Carl August 1775 in Weimar zum Minister ernannt und leitete das dortige Theater 1776-1817 (ab 1791 Hoftheater genannt). Goethe war befreundet mit Johann Caspar Lavater und Barbara Schulthess und weilte 1775, 1779 und 1797 in Zürich. Seine Reisen in der Schweiz schlugen sich 1796 in den «Briefen auf einer Reise nach dem Gotthard» und der «Schweizerreise vom Jahr 1797» nieder.;;;7898
2205;690;Goetzstrasse;gültig;Scheuchzerstrasse 112;Winterthurerstrasse 79;6;O 11;UN;2308;690;Hermann Goetz (1840-1876): Deutscher Komponist. Er wirkte seit 1870 in Zürich als Pianist, Komponist, Musikkritiker und Klavierlehrer. Er starb in Zürich-Hottingen.;"Hermann Goetz (1840-1876)
Komponist, 1870 bis 1876 in Zürich";;8165
1395;691;Goldackerweg;gültig;Triemlistrasse 78;Bergwiesen /Rosshalde;9;H 13/14;AR;2406;691;Flurname «Goldächer» (1368) mit Hinweis auf ertragreichen, fruchtbaren oder, ironisch gemeint, unergiebigen Acker.;;;7356
651;692;Goldauerstrasse;gültig;Rigistrasse 39;Frohburgstrasse 64;6;O 11;OB;2308;692;Ortschaft am Fuss der Rigi in der politischen Gemeinde Arth, im Kanton Schwyz.;;;6602
2440;693;Goldbrunnenplatz;gültig;Birmensdorfer- /Goldbrunnenstrasse;Kalkbreite- /Saumstrasse;3;L 14;WD;2406+2407;693;Goldbrunnenegg am Üetliberg, auf der sich die Burgruine Friesenberg befindet. Der Name «Goldbrunnen» kommt vielleicht von gelbem Gestein oder von einer sagenhaften, goldführenden Quelle mit unterirdischen Schätzen.;;;8401
585;694;Goldbrunnenstrasse;gültig;Berneggweg 15;Leonhard-Ragaz-Weg 24;3;K 13-L 14;WD;2406+2407;694;Goldbrunnenegg am Üetliberg, auf der sich die Burgruine Friesenberg befindet. Der Name «Goldbrunnen» kommt vielleicht von gelbem Gestein oder von einer sagenhaften, goldführenden Quelle mit unterirdischen Schätzen.;;;6537
487;695;Goldregenweg;gültig;Künzlistrasse 49;Regensbergstrasse 221;6+11;M/N 8;OE;2107;695;Strauchname, Zierstrauch.;;;6444
186;696;Gorwiden;gültig;Viktoriastrasse 30;Binzwiesenstrasse 19;11;O 9;OE;2208;696;Flurname «Gorwiden» (1335), «Garwiden» (1572) oder «Garnwiden», alter Name der Waldrebe, mundartlich «Niele», wegen ihrer seilartig langen Stengel auch wie Weidenbänder zur Korbflechterei gebraucht.;;;6147
732;697;Gottfried-Keller-Strasse;gültig;Theaterstrasse;Stadelhoferstrasse;1;O 14;AA;2408;697;Gottfried Keller (1819-1890): Zürcher Dichter und von 1861-1876 erster Staatsschreiber des Kantons Zürich. Als Verfasser von Romanen wie «Der Grüne Heinrich», «Die Leute von Seldwyla» oder «Martin Salander», Novellen, Gedichten und politischen, literatur- und kunstkritischen Artikeln war er einer der bedeutendsten Deutschschweizer Autoren des 19. Jahrhunderts.;;;6687
83;698;Gotthardstrasse;gültig;Claridenstrasse 7;Tessinerplatz;2;N 14;EN;2407;698;Gotthard, Name des zentralen Gebirgsmassivs in der Schweiz und des wichtigen Alpenübergangs (2018 m. ü. M.) zwischen Mittel- und Südeuropa. In der Enge wurden um 1880/90 mehrere neue Strassen nach Schweizer Bergen benannt, der damals angelegte Quai am Zürichsee hiess zunächst Alpenquai.;;;6047
